ID,Genus,Name,Dev,Stage,Maxilla,Mouth_Angle,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length,Notes,,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length
39974,Taractes,Taractes rubescens,Adult,1,6.572,,26.148,13.366,18.116,30.254,18.055,63.492,24.717,4.545,20.119,11.489,,,0.411831412,0.210514711,0.285327285,0.476500977,0.284366534,1,0.389293139,0.071583822,0.316874567,0.180951931
44137,Brama,Brama japonica,Adult,1,3.493,,18.239,8.675,6.484,21.539,16.245,40.259,18.764,2.655,11.096,4.487,,,0.287264537,0.136631387,0.102123102,0.339239589,0.255859006,1,0.295533296,0.041816292,0.174762175,0.070670321
44138,Brama,Brama japonica,Adult,1,2.539,,17.494,9.609,7.468,24.144,17.903,38.944,18.735,2.331,9.056,4.307,Crooked body,,0.275530776,0.151341901,0.117621118,0.38026838,0.281972532,1,0.295076545,0.036713287,0.142632143,0.067835318
44139,Taractichthys,Taractichthys steindachneri,Adult,1,5.947,,28.07,8.644,12.387,33.145,26.632,64.586,31.233,4.412,18.381,8.765,,,0.442102942,0.136143136,0.195095445,0.522034272,0.419454419,1,0.491920242,0.069489069,0.28950104,0.138048888
44140,Taractes,Taractes rubescens,Adult,1,4.767,,23.272,5.927,14.464,23.971,15.43,49.648,19.447,3.536,15.404,6.574,,,0.366534367,0.093350343,0.227808228,0.377543628,0.243022743,1,0.306290556,0.055692056,0.242613243,0.103540604
44141,Taractichthys,Taractichthys steindachneri,Adult,1,3.822,,25.51,7.242,12.485,28.603,22.227,46.735,24.48,2.748,12.793,5.197,,,0.401782902,0.114061614,0.196638947,0.4504977,0.3500756,1,0.385560386,0.043281043,0.201489951,0.081852832
44142,Brama,Brama japonica,Adult,1,3.799,,18.951,7.883,7.912,22.874,19.031,46.043,21.068,3.036,12.276,6.669,,,0.298478548,0.124157374,0.124614125,0.36026586,0.29973855,1,0.331821332,0.047817048,0.193347193,0.105036855
44143,Brama,Brama japonica,Adult,1,3.352,,17.804,9.795,6.985,23.203,17.326,44.949,20.035,2.644,10.994,5.525,Damaged,,0.28041328,0.154271404,0.11001386,0.365447615,0.272884773,1,0.315551566,0.041643042,0.173155673,0.087018837
44144,Brama,Brama japonica,Adult,1,3.219,,22.441,8.916,9.011,24.281,19.095,43.846,20.846,2.995,11.982,6.033,,,0.353446103,0.14042714,0.141923392,0.382426132,0.300746551,1,0.328324828,0.047171297,0.188716689,0.095019845
44145,Taractes,Taractes rubescens,Adult,1,6.941,,28.67,7.105,22.086,35.961,20.441,69.955,28.238,5.295,21.695,8.904,,,0.451552952,0.111903862,0.347854848,0.566386316,0.321946072,1,0.444748945,0.083396333,0.341696592,0.14023814
