"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",0.0667000047210217,0.167303257797954,133,0.398677261871212,0.999677819513582
"2","Brama - Eumegistus",0.0735555580015679,0.0608746462157085,133,1.20831187652286,0.889861490016878
"3","Brama - Pteraclis",-0.422489719038869,0.0265056885363816,133,-15.93958664605,0
"4","Brama - Pterycombus",-0.225476970260892,0.0560177137829573,133,-4.02510125876452,0.00180254999559404
"5","Brama - Taractes",0.149510974865215,0.0235644716149828,133,6.34476245884302,6.74460753913309e-08
"6","Brama - Taractichthys",0.0531550067736109,0.0257848009622814,133,2.06148602238068,0.381700694402078
"7","Caristius - Eumegistus",0.00685555328054617,0.176123062637077,133,0.0389247903022948,0.999999999690007
"8","Caristius - Pteraclis",-0.489189723759891,0.167380292046477,133,-2.92262438892182,0.0605768852884225
"9","Caristius - Pterycombus",-0.292176974981914,0.174503853534085,133,-1.67432964410063,0.6342544756904
"10","Caristius - Taractes",0.082810970144193,0.166939794426822,133,0.496052905950433,0.998871424570695
"11","Caristius - Taractichthys",-0.0135449979474108,0.167267649596211,133,-0.08097798934886,0.999999974953935
"12","Eumegistus - Pteraclis",-0.496045277040437,0.0610860429856366,133,-8.12043558226672,5.81934500587522e-12
"13","Eumegistus - Pterycombus",-0.29903252826246,0.0785298502502373,133,-3.80788359215744,0.00392403900874483
"14","Eumegistus - Taractes",0.0759554168636468,0.0598685012786248,133,1.26870416398357,0.864932455399536
"15","Eumegistus - Taractichthys",-0.020400551227957,0.0607767149780229,133,-0.335663933717607,0.999881654265653
"16","Pteraclis - Pterycombus",0.197012748777978,0.05624736752262,133,3.50261278803401,0.0109549376437017
"17","Pteraclis - Taractes",0.572000693904084,0.0241053192936474,133,23.7292311682769,0
"18","Pteraclis - Taractichthys",0.47564472581248,0.0262799934630857,133,18.0991188784197,0
"19","Pterycombus - Taractes",0.374987945126106,0.0549226651841509,133,6.82756278976639,5.83891690553173e-09
"20","Pterycombus - Taractichthys",0.278631977034503,0.0559112760460846,133,4.98346660528444,3.87708477320725e-05
"21","Taractes - Taractichthys",-0.0963559680916038,0.0233103164741597,133,-4.13361904367182,0.00120529390442048
