"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",-0.0562618751683538,0.104548559677761,133,-0.538141083356518,0.99821222923333
"2","Brama - Eumegistus",0.00475867262135419,0.0380408407254783,133,0.125093781593713,0.999999661700228
"3","Brama - Pteraclis",0.170608182623686,0.016563524202814,133,10.3002344509933,0
"4","Brama - Pterycombus",0.0238005903682425,0.0350057217625853,133,0.679905717404204,0.993502333700591
"5","Brama - Taractes",0.0579381160519723,0.0147255444953091,133,3.93453132211369,0.00250463206465301
"6","Brama - Taractichthys",-0.0265298776848184,0.0161130383093905,133,-1.64648511195788,0.652524509987042
"7","Caristius - Eumegistus",0.061020547789708,0.110060095464368,133,0.554429355455753,0.997886784100613
"8","Caristius - Pteraclis",0.226870057792039,0.104596698726785,133,2.16899826240829,0.319456815477735
"9","Caristius - Pterycombus",0.0800624655365964,0.109048244399642,133,0.734193071858928,0.990195606687271
"10","Caristius - Taractes",0.114199991220326,0.10432142977935,133,1.09469350124773,0.928700582198771
"11","Caristius - Taractichthys",0.0297319974835354,0.104526307952039,133,0.284445113063572,0.999955237897732
"12","Eumegistus - Pteraclis",0.165849510002331,0.0381729435195745,133,4.34468748571319,0.000537322434071008
"13","Eumegistus - Pterycombus",0.0190419177468883,0.0490736572822013,133,0.388027279837459,0.999724603632079
"14","Eumegistus - Taractes",0.0531794434306181,0.0374120962205373,133,1.42145051475157,0.789359947614503
"15","Eumegistus - Taractichthys",-0.0312885503061726,0.0379796430537637,133,-0.823824232941863,0.982102621211469
"16","Pteraclis - Pterycombus",-0.146807592255443,0.0351492334193358,133,-4.17669399796024,0.00102480107284741
"17","Pteraclis - Taractes",-0.112670066571713,0.0150635226468029,133,-7.47966257385531,1.89405824357891e-10
"18","Pteraclis - Taractichthys",-0.197138060308504,0.0164224863345141,133,-12.0041543218819,0
"19","Pterycombus - Taractes",0.0341375256837298,0.0343214209588279,133,0.994641967903405,0.954385131131114
"20","Pterycombus - Taractichthys",-0.0503304680530609,0.0349392083411979,133,-1.44051541069735,0.778784175184464
"21","Taractes - Taractichthys",-0.0844679937367907,0.0145667218025685,133,-5.79869615701022,9.59842530456889e-07
