"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",0.0879839109648653,0.14746844086936,133,0.596628746097673,0.996820967704533
"2","Brama - Eumegistus",0.0413420834748034,0.0536575873301031,133,0.770479731421125,0.987355187431153
"3","Brama - Pteraclis",0.163170927526523,0.0233632782414168,133,6.98407671391186,2.59539467695191e-09
"4","Brama - Pterycombus",0.0931442290408149,0.0493764737242303,133,1.88640909354988,0.492924380818751
"5","Brama - Taractes",0.043668455946556,0.0207707604425041,133,2.10240044255651,0.357362964944855
"6","Brama - Taractichthys",0.069896968407408,0.0227278562658146,133,3.07538764720812,0.0399032189962436
"7","Caristius - Eumegistus",-0.0466418274900619,0.155242604298792,133,-0.300444763219067,0.999938227414926
"8","Caristius - Pteraclis",0.0751870165616573,0.147536342240038,133,0.50961692163501,0.998684998537429
"9","Caristius - Pterycombus",0.0051603180759496,0.153815362265358,133,0.0335487821239024,0.99999999987292
"10","Caristius - Taractes",-0.0443154550183093,0.147148068287503,133,-0.30116232944169,0.999937354945875
"11","Caristius - Taractichthys",-0.0180869425574573,0.147437054236115,133,-0.122675691339381,0.999999698967725
"12","Eumegistus - Pteraclis",0.121828844051719,0.0538439217295429,133,2.26262946937007,0.270122268818487
"13","Eumegistus - Pterycombus",0.0518021455660115,0.0692196597396353,133,0.748373305515536,0.989150675508129
"14","Eumegistus - Taractes",0.00232637247175264,0.0527707269837282,133,0.0440845257346933,0.99999999934597
"15","Eumegistus - Taractichthys",0.0285548849326046,0.0535712664351965,133,0.53302613196846,0.998305709606022
"16","Pteraclis - Pterycombus",-0.0700266984857077,0.0495789006188027,133,-1.41242943291789,0.794282943884624
"17","Pteraclis - Taractes",-0.119502471579967,0.0212474873453168,133,-5.62431075438699,2.17888337283867e-06
"18","Pteraclis - Taractichthys",-0.0932739591191146,0.0231643406892799,133,-4.02661834283418,0.00179254760821235
"19","Pterycombus - Taractes",-0.0494757730942589,0.048411249784974,133,-1.0219891722278,0.948122960715609
"20","Pterycombus - Taractichthys",-0.0232472606334069,0.0492826548272592,133,-0.471712831114536,0.999152435958117
"21","Taractes - Taractichthys",0.026228512460852,0.0205467369366297,133,1.27652933610558,0.861488102248595
