"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",-0.39201168578997,0.17299198180638,133,-2.26606852928436,0.268403452153722
"2","Brama - Eumegistus",-0.0361945348185451,0.0629445345489649,133,-0.575022677948141,0.997409621708891
"3","Brama - Pteraclis",-0.421095252856261,0.0274069474163425,133,-15.3645441230411,0
"4","Brama - Pterycombus",-0.272194632040528,0.0579224544167536,133,-4.69929381932058,0.000128962043250302
"5","Brama - Taractes",0.0597113379875548,0.0243657218547356,133,2.4506287293085,0.186299656222167
"6","Brama - Taractichthys",0.0667929543776649,0.0266615478841122,133,2.50521667639062,0.165844272621794
"7","Caristius - Eumegistus",0.355817150971425,0.182111681795176,133,1.95384034381506,0.448958292192586
"8","Caristius - Pteraclis",-0.0290835670662908,0.17307163540963,133,-0.168043521386131,0.999998028708173
"9","Caristius - Pterycombus",0.119817053749442,0.180437415583195,133,0.664036632104156,0.994282368354164
"10","Caristius - Taractes",0.451723023777525,0.172616159782866,133,2.61692198659586,0.129230956224572
"11","Caristius - Taractichthys",0.458804640167635,0.172955162837824,133,2.65273746466791,0.118917552682478
"12","Eumegistus - Pteraclis",-0.384900718037716,0.0631631193312258,133,-6.09375727660482,2.32247632014904e-07
"13","Eumegistus - Pterycombus",-0.236000097221983,0.0812000591294699,133,-2.90640302177233,0.0632292919118894
"14","Eumegistus - Taractes",0.0959058728060999,0.0619041781988167,133,1.54926332271273,0.714478531308
"15","Eumegistus - Taractichthys",0.10298748919621,0.0628432734073053,133,1.6387989296598,0.657534322284845
"16","Pteraclis - Pterycombus",0.148900620815733,0.0581599169508154,133,2.56019314714042,0.14696330458651
"17","Pteraclis - Taractes",0.480806590843816,0.0249249596903823,133,19.290165232618,0
"18","Pteraclis - Taractichthys",0.487888207233926,0.0271735781530819,133,17.9545072969565,0
"19","Pterycombus - Taractes",0.331905970028083,0.0567901714607899,133,5.84442627114171,7.72334080800796e-07
"20","Pterycombus - Taractichthys",0.338987586418193,0.0578123975339234,133,5.863579454896,7.04929229211615e-07
"21","Taractes - Taractichthys",0.0070816163901101,0.0241029248113549,133,0.293807346848377,0.999945834028276
