"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",0.0497082644942041,0.105638917927782,133,0.470548785137936,0.999164303360605
"2","Brama - Eumegistus",0.0291928658703979,0.0384375764112746,133,0.759487683563602,0.988274040792443
"3","Brama - Pteraclis",0.0403268075742218,0.0167362685746124,133,2.40954591487581,0.202840404487151
"4","Brama - Pterycombus",0.0418948379814534,0.0353708035737497,133,1.18444688128447,0.89889493441481
"5","Brama - Taractes",-0.032222108005562,0.014879120201909,133,-2.16559229096273,0.321340917040116
"6","Brama - Taractichthys",-0.00124655269922736,0.0162810844719364,133,-0.0765644758723553,0.99999998209789
"7","Caristius - Eumegistus",-0.0205153986238062,0.111207934645104,133,-0.184477831453992,0.999996562844297
"8","Caristius - Pteraclis",-0.00938145691998227,0.105687559028766,133,-0.0887659532133662,0.999999956585921
"9","Caristius - Pterycombus",-0.00781342651275071,0.110185530779273,133,-0.0709115476187416,0.999999988694617
"10","Caristius - Taractes",-0.081930372499766,0.105409419245341,133,-0.77725855133565,0.986761999048851
"11","Caristius - Taractichthys",-0.0509548171934314,0.105616434134275,133,-0.482451595825044,0.999036406719819
"12","Eumegistus - Pteraclis",0.0111339417038239,0.0385710569323508,133,0.288660529146286,0.99995118606811
"13","Eumegistus - Pterycombus",0.0127019721110555,0.0495854564618485,133,0.256163258693171,0.999975875657972
"14","Eumegistus - Taractes",-0.0614149738759599,0.0378022746016684,133,-1.62463699666499,0.666722139828911
"15","Eumegistus - Taractichthys",-0.0304394185696253,0.0383757404965614,133,-0.793194298683377,0.985284940255128
"16","Pteraclis - Pterycombus",0.00156803040723157,0.0355158119428355,133,0.0441502058225612,0.999999999340104
"17","Pteraclis - Taractes",-0.0725489155797838,0.0152206231964704,133,-4.76648785291574,9.74972974510102e-05
"18","Pteraclis - Taractichthys",-0.0415733602734491,0.0165937597936214,133,-2.50536109902168,0.165792432051812
"19","Pterycombus - Taractes",-0.0741169459870153,0.0346793660573569,133,-2.13720590694858,0.337276167441216
"20","Pterycombus - Taractichthys",-0.0431413906806807,0.0353035964703262,133,-1.22201121115075,0.884465666098937
"21","Taractes - Taractichthys",0.0309755553063346,0.0147186411149162,133,2.10451189511939,0.356127791336411
