"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",0.0499773592139207,0.0733269756513895,133,0.68156853286194,0.993416053666511
"2","Brama - Eumegistus",-0.00181331923321017,0.0266806143502413,133,-0.0679639235216397,0.999999991234566
"3","Brama - Pteraclis",0.028740124400771,0.0116171197352162,133,2.4739457848272,0.177351138293945
"4","Brama - Pterycombus",-0.0196920650682265,0.0245518801526868,133,-0.80205935129052,0.984411460080085
"5","Brama - Taractes",-0.018710519756645,0.0103280202614849,133,-1.81162694136262,0.542661959474351
"6","Brama - Taractichthys",-0.00326600317878862,0.0113011635112359,133,-0.288997073225379,0.999950849980497
"7","Caristius - Eumegistus",-0.0517906784471309,0.0771925884505704,133,-0.670928122591648,0.993953125186832
"8","Caristius - Pteraclis",-0.0212372348131498,0.0733607388221737,133,-0.289490470708437,0.999950353808082
"9","Caristius - Pterycombus",-0.0696694242821473,0.0764829088661299,133,-0.910914939232915,0.970270025161369
"10","Caristius - Taractes",-0.0686878789705658,0.0731676740925559,133,-0.938773574839577,0.965511768679468
"11","Caristius - Taractichthys",-0.0532433623927094,0.0733113690112285,133,-0.726263376483318,0.990745357740344
"12","Eumegistus - Pteraclis",0.0305534436339811,0.0267732669740176,133,1.14119220727273,0.914078514841589
"13","Eumegistus - Pterycombus",-0.0178787458350164,0.0344186747646037,133,-0.519448989750267,0.998535021922387
"14","Eumegistus - Taractes",-0.0168972005234349,0.0262396333061519,133,-0.643957189732272,0.995162649950146
"15","Eumegistus - Taractichthys",-0.00145268394557846,0.0266376922841931,133,-0.0545349022760686,0.999999997657781
"16","Pteraclis - Pterycombus",-0.0484321894689975,0.0246525345834381,133,-1.96459269958939,0.442059198793199
"17","Pteraclis - Taractes",-0.047450644157416,0.0105650671970111,133,-4.49127708064555,0.000300939297658398
"18","Pteraclis - Taractichthys",-0.0320061275795596,0.0115182003396106,133,-2.77874378252406,0.0876923451902801
"19","Pterycombus - Taractes",0.00098154531158149,0.0240719337188956,133,0.0407755074039196,0.999999999590403
"20","Pterycombus - Taractichthys",0.0164260618894379,0.0245052297918822,133,0.670308421057098,0.99398332057844
"21","Taractes - Taractichthys",0.0154445165778564,0.0102166271656893,133,1.51170404159643,0.737390050057489
