"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",0.209713008720477,0.15381428214832,133,1.36341701038044,0.820070545775727
"2","Brama - Eumegistus",0.0462461799826381,0.0559665731076798,133,0.826317878953575,0.981822713376662
"3","Brama - Pteraclis",0.375928963695694,0.0243686435562067,133,15.4267496600131,0
"4","Brama - Pterycombus",0.205607632862816,0.0515012352211412,133,3.99228546616323,0.00203221988295554
"5","Brama - Taractes",0.0333097465118307,0.0216645648947272,133,1.53752206304119,0.721712086290091
"6","Brama - Taractichthys",0.0166413560193769,0.0237058781912084,133,0.70199280892064,0.992282184424438
"7","Caristius - Eumegistus",-0.163466828737839,0.161922982288854,133,-1.00953444920024,0.951043556896111
"8","Caristius - Pteraclis",0.166215954975217,0.153885105441264,133,1.08013023416785,0.932922600519187
"9","Caristius - Pterycombus",-0.00410537585766091,0.160434323376274,133,-0.025589136858404,0.999999999974976
"10","Caristius - Taractes",-0.176403262208646,0.153480123338422,133,-1.14935574960204,0.911330130607368
"11","Caristius - Taractichthys",-0.1930716527011,0.153781544889872,133,-1.25549299715622,0.870636976499791
"12","Eumegistus - Pteraclis",0.329682783713056,0.0561609258228804,133,5.87032316299066,6.82596839718386e-07
"13","Eumegistus - Pterycombus",0.159361452880178,0.0721983104360271,133,2.20727399183924,0.298707305998601
"14","Eumegistus - Taractes",-0.0129364334708074,0.0550415495111781,133,-0.235030328646184,0.999985508546944
"15","Eumegistus - Taractichthys",-0.0296048239632612,0.0558765376641219,133,-0.52982566924991,0.998362184897159
"16","Pteraclis - Pterycombus",-0.170321330832878,0.0517123729214695,133,-3.29362822107444,0.0210788714385851
"17","Pteraclis - Taractes",-0.342619217183863,0.0221618062428057,133,-15.4598958871002,0
"18","Pteraclis - Taractichthys",-0.359287607676317,0.0241611453512085,133,-14.870470851182,0
"19","Pterycombus - Taractes",-0.172297886350985,0.0504944759006124,133,-3.41221258915761,0.0146131576834905
"20","Pterycombus - Taractichthys",-0.188966276843439,0.0514033791225449,133,-3.67614503305213,0.00617224663579885
"21","Taractes - Taractichthys",-0.0166683904924538,0.0214309012407462,133,-0.777773659875885,0.986716080326017
