"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",-0.0056286590838437,0.0230602902825056,133,-0.244084485272669,0.999981872010026
"2","Brama - Eumegistus",0.00675653550839707,0.0083906735054399,133,0.805243524732148,0.984088430794458
"3","Brama - Pteraclis",0.00383567952632229,0.0036534188265766,133,1.0498877102236,0.941155472837728
"4","Brama - Pterycombus",-0.0195925194601351,0.007721216895593,133,-2.53749113968263,0.15455401016288
"5","Brama - Taractes",-0.00534608799339778,0.00324801538803038,133,-1.64595525412202,0.652870367558403
"6","Brama - Taractichthys",-0.00692671801006007,0.00355405509069598,133,-1.94896191344733,0.452099777781449
"7","Caristius - Eumegistus",0.0123851945922408,0.0242759704940103,133,0.510183294023059,0.998676708319944
"8","Caristius - Pteraclis",0.00946433861016599,0.0230709083192135,133,0.410228261463121,0.999619956366432
"9","Caristius - Pterycombus",-0.0139638603762914,0.0240527863645766,133,-0.580550634119317,0.997268005014855
"10","Caristius - Taractes",0.000282571090445926,0.0230101922093678,133,0.0122802577168776,0.999999999999853
"11","Caristius - Taractichthys",-0.00129805892621637,0.0230553822162824,133,-0.0563017743119279,0.99999999716433
"12","Eumegistus - Pteraclis",-0.00292085598207479,0.00841981143702287,133,-0.346902778514903,0.999856532388475
"13","Eumegistus - Pterycombus",-0.0263490549685322,0.0108241833808111,133,-2.43427647532683,0.192764642597769
"14","Eumegistus - Taractes",-0.0121026235017949,0.00825199124293761,133,-1.46663067682637,0.763934272797397
"15","Eumegistus - Taractichthys",-0.0136832535184571,0.00837717512651722,133,-1.63339709529815,0.66104561654143
"16","Pteraclis - Pterycombus",-0.0234281989864574,0.00775287128159115,133,-3.02187384976797,0.0463172903716979
"17","Pteraclis - Taractes",-0.00918176751972007,0.00332256327569726,133,-2.76345903985627,0.0910821955265438
"18","Pteraclis - Taractichthys",-0.0107623975363824,0.00362231008443948,133,-2.97114197445847,0.0531985002482662
"19","Pterycombus - Taractes",0.0142464314667373,0.0075702805725692,133,1.88188949275659,0.495907450323063
"20","Pterycombus - Taractichthys",0.012665801450075,0.00770654602102904,133,1.64351207603426,0.65446417420057
"21","Taractes - Taractichthys",-0.00158063001666229,0.00321298384470414,133,-0.491950813654914,0.99892340565168
