"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Brama - Caristius",-0.287728206907891,0.100509692445403,133,-2.86269114855948,0.0708671572688667
"2","Brama - Eumegistus",-0.0613817301869544,0.0365712661510315,133,-1.67841413894343,0.631560169141336
"3","Brama - Pteraclis",0.137669104162926,0.0159236504889981,133,8.64557434603599,3.04867242562068e-13
"4","Brama - Pterycombus",0.089406126273579,0.0336533983732655,133,2.65667452903074,0.117824312800412
"5","Brama - Taractes",-0.140369754567758,0.0141566746866379,133,-9.91544678922716,0
"6","Brama - Taractichthys",-0.0322100660597558,0.0154905675394238,133,-2.07933414820216,0.370991201025604
"7","Caristius - Eumegistus",0.226346476720937,0.105808309361037,133,2.13921267703657,0.336136177876249
"8","Caristius - Pteraclis",0.425397311070817,0.100555971810962,133,4.23045298463757,0.000835362415270602
"9","Caristius - Pterycombus",0.37713433318147,0.104835547616355,133,3.5973898334713,0.0080344535433331
"10","Caristius - Taractes",0.147358452340133,0.100291336914683,133,1.46930389875538,0.762391424017832
"11","Caristius - Taractichthys",0.255518140848135,0.100488300337127,133,2.54276507803296,0.152764956101435
"12","Eumegistus - Pteraclis",0.19905083434988,0.0366982656166072,133,5.42398478525925,5.48569233616014e-06
"13","Eumegistus - Pterycombus",0.150787856460533,0.0471778685025192,133,3.19615661424979,0.0281966569746996
"14","Eumegistus - Taractes",-0.0789880243808033,0.0359668109867219,133,-2.19613644395562,0.304663813867709
"15","Eumegistus - Taractichthys",0.0291716641271985,0.0365124326369079,133,0.798951535694472,0.984721981582077
"16","Pteraclis - Pterycombus",-0.0482629778893468,0.0337913659600671,133,-1.4282635968721,0.785607016779347
"17","Pteraclis - Taractes",-0.278038858730683,0.0144815962366297,133,-19.1994621440565,0
"18","Pteraclis - Taractichthys",-0.169879170222682,0.0157880611244993,133,-10.7599767243788,0
"19","Pterycombus - Taractes",-0.229775880841337,0.0329955331330576,133,-6.96384810376433,2.883441707624e-09
"20","Pterycombus - Taractichthys",-0.121616192333335,0.0335894544648296,133,-3.62066589859848,0.00743629885729968
"21","Taractes - Taractichthys",0.108159688508002,0.0140039875520671,133,7.72349219148204,5.09432496187401e-11
