Lower Jaw Length,,,,,,,,Orbit Diameter,,,,,,,,Body Depth,,,,,,,
,Brama,Eumegistus,Taractes,Taractichthys,Pteraclis,Pterycombus,Caristius,,Brama,Eumegistus,Taractes,Taractichthys,Pteraclis,Pterycombus,Caristius,,Brama,Eumegistus,Taractes,Taractichthys,Pteraclis,Pterycombus,Caristius
Brama,,1.0000,0.5427,1.0000,0.1774,0.9844,0.9934,Brama,,0.9841,0.6529,0.4521,0.9412,0.1546,1.0000,Brama,,1.0000,0.0025,0.6525,0.0000,0.9935,0.9982
Eumegistus,1.0000,,0.9952,1.0000,0.9141,0.9985,0.9940,Eumegistus,0.9841,,0.7639,0.6610,0.9999,0.1928,0.9987,Eumegistus,1.0000,,0.7894,0.9821,0.0005,0.9997,0.9979
Taractes,0.5427,0.9952,,0.7374,0.0003,1.0000,0.9655,Taractes,0.6529,0.7639,,0.9989,0.0911,0.4959,1.0000,Taractes,0.0025,0.7894,,0.0000,0.0000,0.9544,0.9287
Taractichthys,1.0000,1.0000,0.7374,,0.0877,0.9940,0.9907,Taractichthys,0.4521,0.6610,0.9989,,0.0532,0.6545,1.0000,Taractichthys,0.6525,0.9821,0.0000,,0.0000,0.7788,1.0000
Pteraclis,0.1774,0.9141,0.0003,0.0877,,0.4421,1.0000,Pteraclis,0.9412,0.9999,0.0911,0.0532,,0.0463,0.9996,Pteraclis,0.0000,0.0005,0.0000,0.0000,,0.0010,0.3195
Pterycombus,0.9844,0.9985,1.0000,0.9940,0.4421,,0.9703,Pterycombus,0.1546,0.1928,0.4959,0.6545,0.0463,,0.9973,Pterycombus,0.9935,0.9997,0.9544,0.7788,0.0010,,0.9902
Caristius,0.9934,0.9940,0.9655,0.9907,1.0000,0.9703,,Caristius,1.0000,0.9987,1.0000,1.0000,0.9996,0.9973,,Caristius,0.9982,0.9979,0.9287,1.0000,0.3195,0.9902,
,,,,,,,,,,,,,,,,,,,,,,,
Breast,,,,,,,,Dorsal Fin Length,,,,,,,,Nape,,,,,,,
,Brama,Eumegistus,Taractes,Taractichthys,Pteraclis,Pterycombus,Caristius,,Brama,Eumegistus,Taractes,Taractichthys,Pteraclis,Pterycombus,Caristius,,Brama,Eumegistus,Taractes,Taractichthys,Pteraclis,Pterycombus,Caristius
Brama,,0.9874,0.3574,0.0399,0.0000,0.4929,0.9968,Brama,,0.9974,0.1863,0.1658,0.0000,0.0001,0.2684,Brama,,0.9818,0.7217,0.9923,0.0000,0.0020,0.8201
Eumegistus,0.9874,,1.0000,0.9983,0.2701,0.9892,0.9999,Eumegistus,0.9974,,0.7145,0.6575,0.0000,0.0632,0.4490,Eumegistus,0.9818,,1.0000,0.9984,0.0000,0.2987,0.9510
Taractes,0.3574,1.0000,,0.8615,0.0000,0.9481,0.9999,Taractes,0.1863,0.7145,,0.9999,0.0000,0.0000,0.1292,Taractes,0.7217,1.0000,,0.9867,0.0000,0.0146,0.9113
Taractichthys,0.0399,0.9983,0.8615,,0.0018,0.9992,1.0000,Taractichthys,0.1658,0.6575,0.9999,,0.0000,0.0000,0.1189,Taractichthys,0.9923,0.9984,0.9867,,0.0000,0.0062,0.8706
